n,lon,lat,GRID_CODE,RASTERVALU,Level
700,122.75,33.50,82.00,4.89,0
701,123.25,33.50,75.00,4.78,0
702,123.75,33.50,65.00,4.86,0
703,124.25,33.50,56.00,5.27,0
704,124.75,33.50,47.00,5.49,0
705,125.25,33.50,36.00,5.70,0
706,125.75,33.50,24.00,6.13,0
707,126.25,33.50,13.00,4.48,0
708,126.75,33.50,8.00,2.98,0
709,127.25,33.50,19.00,2.94,0
710,127.75,33.50,46.00,2.89,0
711,128.25,33.50,52.00,2.96,0
712,128.75,33.50,53.00,3.65,0
713,129.25,33.50,42.00,5.84,0
714,129.75,33.50,18.00,6.37,0
715,130.25,33.50,3.00,2.93,0
716,130.75,33.50,332.00,1.60,0
717,131.25,33.50,319.00,2.43,0
718,131.75,33.50,307.00,2.96,0
719,132.25,33.50,299.00,2.51,0
720,117.75,34.00,68.00,3.70,3
721,118.25,34.00,75.00,5.59,0
722,118.75,34.00,73.00,5.63,1
723,119.25,34.00,72.00,5.48,0
724,119.75,34.00,72.00,5.24,2
725,120.25,34.00,71.00,5.02,0
726,120.75,34.00,71.00,5.94,1
727,121.25,34.00,73.00,5.49,0
728,121.75,34.00,74.00,5.11,3
729,122.25,34.00,73.00,4.78,0
730,122.75,34.00,70.00,4.46,1
731,123.25,34.00,69.00,4.25,0
732,123.75,34.00,66.00,4.21,2
733,124.25,34.00,60.00,4.46,0
734,124.75,34.00,49.00,4.64,1
735,125.25,34.00,33.00,4.72,0
736,125.75,34.00,16.00,4.68,3
737,126.25,34.00,347.00,4.01,0
738,126.75,34.00,296.00,1.91,1
739,127.25,34.00,174.00,0.71,0
740,127.75,34.00,38.00,1.78,2
741,128.25,34.00,23.00,3.26,0
742,128.75,34.00,10.00,3.19,1
743,129.25,34.00,43.00,2.66,0
744,129.75,34.00,44.00,4.70,3
745,130.25,34.00,12.00,5.77,0
746,130.75,34.00,349.00,5.27,1
747,131.25,34.00,315.00,2.74,0
748,131.75,34.00,264.00,3.45,2
749,132.25,34.00,185.00,3.29,0
